test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-01-01,3,1,2,0,33.33,66.67,-9.3,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-02,3,2,1,0,66.67,33.33,-0.74,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-03,1,1,0,0,100.0,0.0,0.55,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-06,5,2,3,0,40.0,60.0,1.55,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-07,3,1,2,0,33.33,66.67,-6.16,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-08,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-09,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-10,2,0,2,0,0.0,100.0,-1.26,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-13,3,2,1,0,66.67,33.33,2.63,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-14,3,2,1,0,66.67,33.33,3.62,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-15,1,0,1,0,0.0,100.0,-28.13,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-16,2,0,2,0,0.0,100.0,-3.76,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-17,2,0,2,0,0.0,100.0,-5.29,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-20,2,2,0,0,100.0,0.0,33.8,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-21,4,2,2,0,50.0,50.0,0.04,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-22,3,1,2,0,33.33,66.67,-5.41,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-23,3,1,2,0,33.33,66.67,-0.06,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-24,3,1,2,0,33.33,66.67,3.63,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-27,3,1,2,0,33.33,66.67,0.52,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-28,2,2,0,0,100.0,0.0,2.92,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-29,4,1,3,0,25.0,75.0,-6.9,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-30,2,2,0,0,100.0,0.0,4.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-31,4,1,3,0,25.0,75.0,4.06,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-03,2,0,2,0,0.0,100.0,-3.29,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-04,2,0,2,0,0.0,100.0,-5.81,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-05,1,1,0,0,100.0,0.0,13.7,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-06,1,1,0,0,100.0,0.0,4.48,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-07,1,0,1,0,0.0,100.0,-11.35,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-10,2,2,0,0,100.0,0.0,1.37,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-11,4,0,4,0,0.0,100.0,-6.48,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-12,4,1,3,0,25.0,75.0,-5.51,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-13,4,1,3,0,25.0,75.0,-0.53,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-14,1,0,1,0,0.0,100.0,-8.42,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-17,3,0,3,0,0.0,100.0,-4.09,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-18,2,2,0,0,100.0,0.0,3.38,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-19,3,0,3,0,0.0,100.0,-14.25,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-20,2,2,0,0,100.0,0.0,0.97,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-21,1,0,1,0,0.0,100.0,-4.91,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-24,2,1,1,0,50.0,50.0,-1.69,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-25,2,0,2,0,0.0,100.0,-2.17,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-27,1,1,0,0,100.0,0.0,0.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-28,1,0,1,0,0.0,100.0,-3.81,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-03,3,2,1,0,66.67,33.33,-1.43,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-04,1,0,1,0,0.0,100.0,-1.14,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-05,4,2,2,0,50.0,50.0,-2.23,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-06,5,2,3,0,40.0,60.0,-0.43,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-07,2,1,1,0,50.0,50.0,12.45,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-10,4,1,3,0,25.0,75.0,-1.88,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-11,1,1,0,0,100.0,0.0,21.59,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-12,2,0,2,0,0.0,100.0,-12.41,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-13,1,0,1,0,0.0,100.0,-34.02,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-17,2,1,1,0,50.0,50.0,0.6,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-18,2,1,1,0,50.0,50.0,-2.3,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-19,2,0,2,0,0.0,100.0,-8.18,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
