test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-01-01,2,0,2,0,0.0,100.0,-14.65,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-02,1,0,1,0,0.0,100.0,-15.12,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-03,1,1,0,0,100.0,0.0,8.47,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-06,3,3,0,0,100.0,0.0,7.03,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-07,2,2,0,0,100.0,0.0,35.53,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-08,2,2,0,0,100.0,0.0,41.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-09,1,0,1,0,0.0,100.0,-0.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-10,3,0,3,0,0.0,100.0,-15.19,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-13,1,0,1,0,0.0,100.0,-0.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-14,1,0,1,0,0.0,100.0,-7.85,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-15,1,0,1,0,0.0,100.0,-3.62,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-16,2,1,1,0,50.0,50.0,5.89,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-17,3,0,3,0,0.0,100.0,-19.03,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-20,1,0,1,0,0.0,100.0,-20.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-21,2,2,0,0,100.0,0.0,29.53,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-22,1,0,1,0,0.0,100.0,-1.06,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-23,1,0,1,0,0.0,100.0,-11.11,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-24,4,2,2,0,50.0,50.0,1.43,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-27,2,0,2,0,0.0,100.0,-23.82,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-28,2,1,1,0,50.0,50.0,6.12,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-29,3,1,2,0,33.33,66.67,-4.52,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-30,1,0,1,0,0.0,100.0,-0.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-31,2,0,2,0,0.0,100.0,-11.43,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-03,3,3,0,0,100.0,0.0,19.76,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-04,1,0,1,0,0.0,100.0,-18.75,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-05,1,0,1,0,0.0,100.0,-9.56,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-06,3,2,1,0,66.67,33.33,5.39,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-07,3,1,2,0,33.33,66.67,-7.95,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-10,2,1,1,0,50.0,50.0,-7.74,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-11,2,2,0,0,100.0,0.0,26.56,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-12,3,2,1,0,66.67,33.33,-4.53,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-13,2,0,2,0,0.0,100.0,-10.49,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-14,1,1,0,0,100.0,0.0,42.74,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-17,3,1,2,0,33.33,66.67,-4.07,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-18,4,2,2,0,50.0,50.0,-6.52,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-19,1,1,0,0,100.0,0.0,4.78,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-20,2,1,1,0,50.0,50.0,7.14,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-21,2,1,1,0,50.0,50.0,-3.94,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-24,1,1,0,0,100.0,0.0,0.26,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-25,1,0,1,0,0.0,100.0,-6.45,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-27,2,1,1,0,50.0,50.0,-9.76,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-28,3,2,1,0,66.67,33.33,-2.36,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-03,1,0,1,0,0.0,100.0,-0.36,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-04,1,0,1,0,0.0,100.0,-0.94,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-05,1,1,0,0,100.0,0.0,3.92,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-06,2,0,2,0,0.0,100.0,-14.05,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-07,1,0,1,0,0.0,100.0,-5.01,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-10,2,2,0,0,100.0,0.0,8.01,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-11,2,2,0,0,100.0,0.0,15.31,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-12,2,2,0,0,100.0,0.0,18.23,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-13,3,2,1,0,66.67,33.33,0.89,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-17,1,0,1,0,0.0,100.0,-36.68,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-18,2,2,0,0,100.0,0.0,9.57,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-19,3,0,3,0,0.0,100.0,-27.44,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-20,2,0,2,0,0.0,100.0,-18.01,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-21,2,1,1,0,50.0,50.0,4.05,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-24,2,1,1,0,50.0,50.0,-9.86,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-25,4,3,1,0,75.0,25.0,5.07,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-26,1,0,1,0,0.0,100.0,-7.09,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-27,2,0,2,0,0.0,100.0,-10.49,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-28,3,0,3,0,0.0,100.0,-16.28,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
