test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-01-01,2,1,1,0,50.0,50.0,-0.03,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-02,2,0,2,0,0.0,100.0,-2.74,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-03,1,0,1,0,0.0,100.0,-0.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-06,5,0,5,0,0.0,100.0,-5.96,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-07,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-08,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-09,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-10,1,0,1,0,0.0,100.0,-0.08,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-13,2,0,2,0,0.0,100.0,-2.44,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-14,2,0,2,0,0.0,100.0,-1.8,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-15,3,0,3,0,0.0,100.0,-13.66,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-16,2,0,2,0,0.0,100.0,-7.03,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-17,4,0,4,0,0.0,100.0,-0.58,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-20,2,0,2,0,0.0,100.0,-5.63,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-21,2,1,1,0,50.0,50.0,-3.44,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-22,2,1,1,0,50.0,50.0,0.16,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-23,1,0,1,0,0.0,100.0,-1.55,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-24,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-27,1,1,0,0,100.0,0.0,0.66,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-28,1,0,1,0,0.0,100.0,-0.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-29,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-30,2,2,0,0,100.0,0.0,0.85,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-31,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-03,1,0,1,0,0.0,100.0,-5.67,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-04,2,2,0,0,100.0,0.0,7.55,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-05,1,0,1,0,0.0,100.0,-0.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-06,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-07,1,0,1,0,0.0,100.0,-1.97,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-10,1,0,1,0,0.0,100.0,-5.23,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-11,2,0,2,0,0.0,100.0,-5.08,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-12,1,0,1,0,0.0,100.0,-4.86,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-13,1,0,1,0,0.0,100.0,-3.71,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-14,1,1,0,0,100.0,0.0,45.88,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-17,2,0,2,0,0.0,100.0,-3.29,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-18,1,0,1,0,0.0,100.0,-0.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-19,2,0,2,0,0.0,100.0,-13.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-20,2,0,2,0,0.0,100.0,-4.07,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-21,2,1,1,0,50.0,50.0,-0.32,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
